Project ID,Project Name,Parent,Project Owner (Subsidiary),Sector,State,City,Project Status,Project Type,Construction Start Date,Expected Commissioning Date,Scope,Project Status Cleaned,Start Date Cleaned,Commissioning Date Cleaned
VED-001,Lanjigarh Alumina Refinery Expansion (2 → 5 MTPA),Vedanta,Vedanta,Mining,Odisha,"Lanjigarh, Kalahandi",Completed,Not Disclosed,2020-01-01,2025-12-01,Multi-phase brownfield expansion: 3.5 MTPA commissioned Apr 2024; full 5 MTPA reached Dec 2025 — now India's largest alumina refinery and one of world's largest outside China,Completed,2020-01-01,2025-12-01
VED-002,BALCO Korba Smelter Expansion — 525 kA Potline (0.435 MTPA),Vedanta,Vedanta,Mining,Chhattisgarh,Korba,Completed,Not Disclosed,Not Disclosed,2025-01-01,"New 525 kA high-amperage potline at Korba; takes BALCO to 1 MTPA (India's largest 525 kA smelter, >20% of India's aluminium output); first metal Oct 2025",Completed,,2025-01-01
VED-003,Jharsuguda Cast House-4 & Value-Added Products Expansion,Vedanta,Vedanta,Mining,Odisha,Jharsuguda,Completed,Not Disclosed,2022-01-01,2025-06-01,New 180 KTPA Primary Foundry Alloy line + 2×125 KTPA billet lines at Jharsuguda; PFA line commissioned Feb 2025; billet lines achieved Jun 2025; lifts VAP share,Completed,2022-01-01,2025-06-01
VED-004,Jharsuguda Aluminium Smelter Expansion (1.75 → 1.8 MTPA),Vedanta,Vedanta,Mining,Odisha,Jharsuguda,Approved — Pre-Construction,Not Disclosed,2026-01-01,2028-01-01,"Debottlenecking: adding 66 pots in Smelter-2; Odisha SPCB consent issued Apr 3, 2026; 5-year window to commence construction; commissioning expected FY2028-30",Upcoming,2026-01-01,2028-01-01
VED-005,HZL Rajasthan Underground Mines Expansion (10 → 15 MTPA ore),Vedanta,Vedanta,Mining,Rajasthan,"Multiple Districts (Bhilwara, Rajsamand, Udaipur, Chittorgarh)",Ongoing,Not Disclosed,2026-04-01,2029-01-01,"Multi-mine underground expansion and mill upgrades at Rampura Agucha, Sindesar Khurd, Rajpura Dariba, Zawar, Kayad and Bamania Kalan; investment plan announced Apr 2026 over 3 years",Ongoing,2026-04-01,2029-01-01
VED-006,Rampura Agucha 10 MTPA Zinc Tailings Reprocessing Plant,Vedanta,Vedanta,Mining,Rajasthan,"Rampura Agucha, Bhilwara",Approved — Under Development,Not Disclosed,2025-01-01,2028-01-01,First-of-its-kind 10 MTPA zinc tailings reprocessing plant to recover zinc and silver from historical tailings at Rampura Agucha; HZL board approved Aug 2025; 28-month implementation,Upcoming,2025-01-01,2028-01-01
VED-007,HZL 250 KTPA Integrated Zinc Metal Complex — Debari,Vedanta,Vedanta,Mining,Rajasthan,"Debari, Udaipur",Approved — Under Development,Not Disclosed,2025-01-01,2028-01-01,New 250 KTPA integrated zinc metal complex at Debari; part of HZL 2X growth plan to nearly double zinc-lead-silver capacity; 36-month completion from board approval,Upcoming,2025-01-01,2028-01-01
VED-008,Bamnia Kalan & Sindesar Kalan Underground Lead-Zinc Mine Expansion,Vedanta,Vedanta,Mining,Rajasthan,"Bamnia Kalan & Sindesar Kalan, Rajsamand",Under Development,Not Disclosed,2020-01-01,2027-01-01,Underground lead-zinc ore expansion from 0.12 MTPA to 1.5 MTPA ROM; portal excavation started; infrastructure orders placed; ore production expected post-FY27,Upcoming,2020-01-01,2027-01-01
VED-009,Bicholim Mineral Block-1 Iron Ore Mine — 3 MTPA (Goa),Vedanta,Vedanta,Mining,Goa,"Bicholim Mineral Block-1, North Goa",Ongoing — Operational,Not Disclosed,2024-01-01,2024-01-01,"Restart of iron ore mining at Bicholim Block-1 after 6-year halt; first post-2018 auction mine to become operational in Goa; EC granted Jan 2024; mining operations formally commenced Apr 4, 2024",Completed,2024-01-01,2024-01-01
VED-010,"Janthakal Iron Ore Mine — Preferred Bidder (G3 block, Karnataka)",Vedanta,Vedanta,Mining,Karnataka,"Janthakal, Chitradurga",Upcoming — Approvals Stage,Not Disclosed,2025-01-01,TBD (Post lease & clearances),71.16 ha G3-stage iron ore block in Chitradurga; ~12.51 Mt geological resources; Vedanta declared preferred bidder Jul 2025; mining lease grant pending statutory approvals,Upcoming,2025-01-01,
